,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Males Aged 40-49 Years,296400,294500,295900,317900,295600,290100,297700,302700,306000,288600,298000,291400,303300,305900,303900,307800,312600,313500,316000,321200,312600,315500,306900,299200,292400,281800,275600,275400,267600,259400,239200,221300,214500,192200,178400,167500,155800,154900,140000,129100,130400,128800,120900,114300
  Single,44000,41700,43600,46900,42900,44500,39200,43600,40700,39200,42200,40400,41100,38900,40300,43800,42600,42800,43100,44700,43900,44300,43300,40000,38700,36100,34000,31300,31700,26800,24700,20700,18900,17300,14400,16700,9200,10400,8800,7700,7700,7600,7900,8300
  Married,240600,238400,238900,256700,240300,231400,245600,245100,254000,237500,243700,240100,251300,255900,252500,252100,259500,261400,263100,264900,257700,263200,256400,252000,246300,236000,235000,238500,230600,226000,209500,195900,191100,170200,159500,146100,143000,141000,128200,118300,120100,118900,111000,103200
  Widowed,800,1100,1000,1300,500,700,900,1300,900,1000,700,900,900,1000,1100,1100,1000,700,1300,1200,1400,1300,1200,800,1200,1400,1100,1400,1300,1800,1300,1400,1700,1300,1000,1800,1000,1300,1100,900,1000,800,1300,1200
  Divorced/Separated,11000,13200,12400,12900,11800,13600,12000,12600,10400,10900,11400,10000,9900,10000,9900,10800,9600,8500,8500,10300,9600,6800,6000,6400,6200,8200,5500,4300,4000,4700,3800,3400,2900,3400,3500,3000,2500,2200,1900,2100,1600,1600,800,1500
Females Aged 40-49 Years,331300,329500,328900,359200,316300,320200,330100,324000,328400,316900,319200,312700,322700,324500,320700,316200,318500,317100,326300,323600,307700,310200,302000,296300,287400,279900,276700,276400,263100,253400,236500,217300,210100,195000,185900,164000,160900,153600,142300,138900,133500,133200,125300,112800
  Single,49300,48200,49400,56900,55900,50800,48100,45300,47600,44200,47600,45100,43800,40900,42700,42500,39700,37800,41300,41300,42400,38400,40500,39400,38600,36600,37400,36800,31600,27500,28000,22600,19700,19200,17800,16200,9300,9200,7900,7800,7200,6500,5500,5700
  Married,258600,256800,254400,271200,234700,242700,253300,250500,256400,247800,245400,245100,255200,258900,253700,250200,256000,256900,263200,260100,245000,249000,241800,236700,228200,223200,220400,222400,215000,207900,192200,179300,175000,160300,153300,135300,137300,131400,122500,118600,114600,115500,108900,95900
  Widowed,2200,3100,3200,2900,2700,3600,3600,4200,3600,3900,4000,3400,3100,4500,5900,4600,4800,4500,4800,5300,4800,6000,5600,5700,5700,5800,6900,7300,7000,7800,6900,7200,7800,8000,7800,7200,8600,8100,7700,8100,7900,7700,8700,8200
  Divorced/Separated,21300,21300,21900,28100,22900,23200,25100,24100,20800,20900,22100,19200,20500,20300,18300,18800,18100,17900,17000,16800,15500,16800,14100,14500,14800,14300,12000,9900,9600,10100,9400,8200,7600,7600,6900,5300,5700,4900,4300,4400,3800,3600,2200,2900
Total Aged 50-59 Years,620800,606400,630300,615000,547000,600700,628100,615700,592800,621500,616100,614800,599300,585500,577000,556700,531800,518200,514800,500000,458100,440800,413900,385100,344400,330000,318000,303500,287900,258800,254500,261100,255600,253300,243500,217300,224200,208000,203500,202000,192800,184200,181400,159600
  Single,72600,70300,74600,77900,69700,77300,75100,75200,74000,75900,73200,75600,70300,63100,65300,64900,60300,55400,55500,52200,47400,43100,41500,37000,28500,26300,23700,22000,18600,18600,15300,13600,11900,13100,12900,13200,8100,7400,7100,8200,6500,6600,5800,6400
  Married,491300,478600,495600,475300,424500,464400,494700,485200,467200,487600,488500,489100,479100,475300,464000,443200,426500,418000,414500,404000,370900,360900,338300,314300,282800,272500,263800,253400,241100,210600,213400,215100,212300,210300,201900,177700,188400,173900,169400,165200,159100,155300,150600,129200
  Widowed,10600,13800,14200,14700,11700,15200,15900,14800,15300,19600,17600,17000,18400,15800,17900,18600,19000,17700,20200,20200,18700,20200,17900,18900,18900,17700,20500,20100,19900,21300,18400,25700,24100,23800,22100,21900,23100,22700,23300,24300,22700,19700,23000,21200
  Divorced/Separated,46200,43600,45900,47000,41100,43700,42400,40500,36400,38400,36900,33100,31600,31300,29600,30000,26000,27200,24600,23500,21100,16700,16100,15000,14100,13500,9900,8000,8300,8400,7400,6700,7200,6100,6600,4400,4600,4000,3800,4300,4500,2600,2000,2800
Males Aged 50-59 Years,293200,293300,302300,305500,264900,293200,305800,306900,296400,307000,308200,302300,295500,291200,286400,279300,266000,260100,259300,254800,227900,222200,207700,194200,173200,164400,158300,150600,143300,129700,126800,127500,125700,126000,122300,108800,109000,101400,100600,101500,95300,93300,93000,82300
  Single,31800,32600,33600,35600,33100,36600,35800,34900,34200,36900,34900,34300,32300,29400,30200,30300,27600,25700,24400,24500,21100,18700,17000,15700,12200,11200,10100,10300,8800,8800,8100,7100,6300,7100,7300,7800,4000,4000,3800,5000,4000,4000,3600,4200
